productId,imageURL,productURL,productTitle,price,discount percentage,original price,brand,material,style,warranty,colors
"80","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__701eeb5106bc4ed8a0673e41cfc4b2b7_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mh6001","Molsion Eyewear - Glasses - MH6001","2,224,000","20","2,780,000","Molsion - Pháp","Titanium | Nhựa","Vuông","12 tháng","Nâu-Xám"
"81","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__9f29baf2353f4e368175d96030ae8f7c_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj3097","Molsion Eyewear - Glasses - MJ3097","2,064,000","20","2,580,000","Molsion - Pháp","Nhựa Acetate","Vuông","12 tháng","Xám"
"82","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__2316104bd3db4426b87b4c7f8f19efb9_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj6185","Molsion Eyewear - Glasses - MJ6185","2,064,000","20","2,580,000","Molsion - Pháp","Thép cao cấp | Nhựa","Vuông","12 tháng","Xám-Đen-Nâu"
"83","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__c9f32b5013dc405085b353725cf0a6ac_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mh6000","Molsion Eyewear - Glasses - MH6000","2,224,000","20","2,780,000","Molsion - Pháp","Titanium | Nhựa","Vuông","12 tháng","Trắng-Nâu-Xám"
"84","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__8e2ad9a84b67487cb23b4bbfa027ee9e_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj7363","Molsion Eyewear - Glasses - MJ7363","2,064,000","20","2,580,000","Molsion - Pháp","Thép cao cấp","Vuông","12 tháng","Vàng-Đen-Bạc"
"85","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__6a8eb69b8e5d4d55a9c387b7681c854f_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bj3175","Bolon Eyewear - Glasses - BJ3175","2,384,000","20","2,980,000","Bolon - Pháp","Nhựa Acetate","Vuông","12 tháng","Xám-Đen-Xanh Lá"
"86","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__45a17c0038d548e2a0d2e75979cb3af4_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bt1612","Bolon Eyewear - Glasses - BT1612","3,424,000","20","4,280,000","Bolon - Pháp","Titanium","Vuông","12 tháng","Đen-Xám Đậm-Đen Bạc"
"87","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__66201af5349b44b1916726f51f92f829_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bj7190","Bolon Eyewear - Glasses - BJ7190","2,624,000","20","3,280,000","Bolon - Pháp","Thép cao cấp","Vuông","12 tháng","Nâu-Hồng"
"88","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__3e31ecf7a2ef44b1aec50af5a19af7af_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bh7010","Bolon Eyewear - Glasses - BH7010","2,624,000","20","3,280,000","Bolon - Pháp","Titanium","Vuông","12 tháng","Bạc-Đen Bạc-Hồng"
"89","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__e84879e2119f41979594f2259359d434_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bt6028","Bolon Eyewear - Glasses - BT6028","3,424,000","20","4,280,000","Bolon - Pháp","Titanium | Nhựa","Vuông","12 tháng","Xám-Đen Bạc-Xám Đậm-Nâu-Trắng"
